codigo,materia,creditos,correlativas,categoria,nivel_en_grafo
95.15,ELEC,75.24,75.41,Materias Electivas,7
95.08,Taller de Programación,4,75.42,Materias Electivas,7
95.14,Algoritmos y Programación I,6,75.40,Materias Electivas,7
95.15,Algoritmos y Programación II,6,75.41,Materias Electivas,7
75.40,OBL,95.03,95.58,Materias Electivas,7
75.08,Sistemas Operativos,6,95.19,Materias Electivas,7
75.26,Simulación,6,95.20,Materias Electivas,7
95.21,Métodos y Modelos en la Ingeniería de Software I,+,6,Materias Electivas,7
95.20,OBL,OBL,75.10,Materias Electivas,7
75.09,OBL,OBL,6,Materias Electivas,7
75.18,Proyectos Informáticos,6,95.25,Materias Electivas,7
95.02,ELEC,75.23,Inteligencia Artificial,Materias Electivas,7
75.41,61.09-71.14,ELEC,Estándares de Calidad y Modelos de Referencia,Materias Electivas,7
95.24,OBL,,,Materias Electivas,7
95.35,Evaluación e Implantación de Sistemas,4,75.17,Materias Electivas,7
75.10,OBL,95.37,95.24,Materias Electivas,7
95.09,Técnicas de,Programación Concurrente I,ELEC,Materias Electivas,7
75.22,Concurrencia,8,95.48,Materias Electivas,7
81.11,ELEC,75.14,61.07,Materias Electivas,7
95.49,Lenguajes de Programación,6,75.16,Materias Electivas,7
75.14,ELEC,95.57,95.14,Materias Electivas,7
75.03,Organización del Computador,8,95.58,Materias Electivas,7
75.06,Organización de Datos,6,95.59,Materias Electivas,7
95.60,Redes y Aplicaciones Distribuidas,6,75.33,Materias Electivas,7
95.61,Trabajo Profesional de Licenciatura en Análisis de Sistemas,12,,Materias Electivas,7
95.62,Innovación Tecnológica,4,,Materias Electivas,7
95.63,Desarrollo de Aplicaciones Mainframe,4,75.27,Materias Electivas,7
75.07,ELEC,95.64,95.24,Materias Electivas,7
95.65,Diseño y Desarrollo de Interfaces de Usuario,4,,Materias Electivas,7
95.66,Bases de Datos Multidimensionales,4,,Materias Electivas,7
95.67,Minería de Datos,4,,Materias Electivas,7
95.68,Desarrollo con Nuevas Tecnologías,4,75.71,Materias Electivas,7
75.07,ELEC,95.69,91.42 -,Materias Electivas,7
95.21,ELEC,,,Materias Electivas,7
95.70,Seminario de Metodologías de Desarrollo de Sistemas,4,,Materias Electivas,7
95.71,Arquitecturas y Configuraciones,4,,Materias Electivas,7
78.01,Idioma Inglés,4,98.01,Materias Electivas,7
98.02,Idioma,Alemán (**),ELEC,Materias Electivas,7
78.02,Idioma Alemán,4,98.03,Materias Electivas,7
78.03,Idioma Francés,4,98.04,Materias Electivas,7
78.04,Idioma Italiano,4,98.05,Materias Electivas,7
78.05,Idioma Portugués,4,,Materias Electivas,7
75.19,Teoría de Comunicación,6,,Materias Electivas,7
75.20,Arquitecturas y Configuración,6,,Materias Electivas,7
75.32,Práctica Profesional,3,,Materias Electivas,7
75.34,Redes y Teleprocesamientos II,6,,Materias Electivas,7
75.36,Seminario de Lógica y Bases de Datos,3,,Materias Electivas,7
75.38,Análisis Numérico II A,6,,Materias Electivas,7
75.39,Aplicaciones Informáticas,6,,Materias Electivas,7
75.72,Seminario de Ingeniería de Informática II,3,(**) El estudiante podrá cursar sólo un idioma en carácter de asignatura electiva,Materias Electivas,7
86.36,Criptografía y Seguridad Informática,6,66.69,Materias Electivas,7
75.43,ELEC,91.35,91.05,Materias Electivas,7
71.41,Análisis y Resolución de Problemas,6,91.40,Materias Electivas,7
71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,95.07,Materias Electivas,7
95.15,ELEC,75.31,75.41,Materias Electivas,7
95.09,Técnicas de Programación Concurrente I,6,75.59,Materias Electivas,7
75.08,ELEC,95.24,91.42-95.21,Materias Electivas,7
75.44,Administración y Control de Proyectos Informáticos I,6,95.35,Materias Electivas,7
95.24,ELEC,75.56,75.46-75.48,Materias Electivas,7
95.37,Evaluación de Proyectos y Manejo de Riesgos,4,75.58,Materias Electivas,7
95.57,Organización del Computador,8,66.70,Materias Electivas,7
66.02,Estructura del Computador,+,6,Materias Electivas,7
62.03,OBL,OBL,6,Materias Electivas,7
75.43,Introducción a los Sistemas Distribuidos,6,(*) La Comisión Curricular de la Carrera de Licenciatura en Análisis de Sistemas no recomendará otorgar créditos por cualquiera de las,Materias Electivas,7
